	Homo-sapiens	Pan-troglodytes	Macaca-mulatta	Callithrix-jacchus	Pongo-abelii	Nomascus-leucogenys	Otolemur-garnettii	Pan-paniscus	Papio-anubis	Saimiri-boliviensis	Gorilla-gorilla	Macaca-fascicularis	Chlorocebus-sabaeus	Carlito-syrichta	Rhinopithecus-roxellana	Macaca-nemestrina	Colobus-angolensis	Mandrillus-leucophaeus	Cercocebus-atys	Aotus-nancymaae	Propithecus-coquereli	Microcebus-murinus	Cebus-imitator	Rhinopithecus-bieti	Piliocolobus-tephrosceles	Theropithecus-gelada	Sapajus-apella	Hylobates-moloch	Trachypithecus-francoisi	Lemur-catta	Macaca-thibetana	Nycticebus-coucang	Pongo-pygmaeus	Symphalangus-syndactylus	Eulemur-rufifrons
Rhinopithecus-roxellana	0.020648967551622377	0.01868239921337267	0.01868239921337267	0.05211406096361848	0.022615535889872196	0.020648967551622377	0.18780727630285154	0.019665683382497523	0.020648967551622377	0.05408062930186819	0.022615535889872196	0.022615535889872196	0.019665683382497523	0.09931170108161258	0.0	0.01868239921337267	0.003933136676499527	0.020648967551622377	0.3657817109144543	0.06096361848574239	0.08652900688298915	0.09734513274336287	0.041297935103244865	0.000983284169124854	0.004916420845624381	0.019665683382497523	0.04228121927236972	0.019665683382497523	0.002949852507374673	0.08062930186823991	0.01868239921337267	0.1750245821042281	0.021632251720747342	0.019665683382497523	0.08357915437561458
Macaca-nemestrina	0.027531956735496577	0.027531956735496577	0.0	0.06194690265486724	0.03048180924287114	0.025565388397246758	0.1907571288102261	0.02851524090462143	0.003933136676499527	0.058013765978367715	0.029498525073746285	0.003933136676499527	0.004916420845624381	0.10914454277286134	0.01868239921337267	0.0	0.01868239921337267	0.003933136676499527	0.35889872173058013	0.06882989183874144	0.08849557522123896	0.10127826941986229	0.053097345132743334	0.017699115044247815	0.019665683382497523	0.002949852507374673	0.05408062930186819	0.026548672566371723	0.019665683382497523	0.08456243854473944	0.0	0.1799410029498525	0.029498525073746285	0.026548672566371723	0.08554572271386429
Colobus-angolensis	0.020648967551622377	0.01868239921337267	0.01868239921337267	0.05211406096361848	0.022615535889872196	0.020648967551622377	0.1868239921337267	0.019665683382497523	0.020648967551622377	0.05408062930186819	0.020648967551622377	0.022615535889872196	0.019665683382497523	0.09734513274336287	0.003933136676499527	0.01868239921337267	0.0	0.020648967551622377	0.3657817109144543	0.06096361848574239	0.08652900688298915	0.09734513274336287	0.041297935103244865	0.002949852507374673	0.004916420845624381	0.019665683382497523	0.04228121927236972	0.019665683382497523	0.004916420845624381	0.08062930186823991	0.01868239921337267	0.1750245821042281	0.021632251720747342	0.019665683382497523	0.08161258603736476
Mandrillus-leucophaeus	0.029498525073746285	0.029498525073746285	0.003933136676499527	0.0629301868239921	0.03244837758112096	0.029498525073746285	0.1907571288102261	0.03048180924287114	0.003933136676499527	0.05899705014749268	0.0314650934119961	0.007866273352999054	0.006882989183874089	0.10816125860373649	0.020648967551622377	0.003933136676499527	0.020648967551622377	0.0	0.35889872173058013	0.0698131760078663	0.08751229105211411	0.10029498525073743	0.05408062930186819	0.019665683382497523	0.019665683382497523	0.002949852507374673	0.05506391347099315	0.02851524090462143	0.021632251720747342	0.08357915437561458	0.003933136676499527	0.1799410029498525	0.0314650934119961	0.02851524090462143	0.08456243854473944
Cercocebus-atys	0.36479842674532936	0.3657817109144543	0.35889872173058013	0.3824975417895772	0.3667649950835792	0.36479842674532936	0.4444444444444444	0.3657817109144543	0.35889872173058013	0.3824975417895772	0.36479842674532936	0.3618485742379548	0.3579154375614553	0.41199606686332346	0.3657817109144543	0.35889872173058013	0.3657817109144543	0.35889872173058013	0.0	0.3893805309734514	0.400196656833825	0.4041297935103245	0.3824975417895772	0.36479842674532936	0.36479842674532936	0.3579154375614553	0.38348082595870203	0.3638151425762045	0.3657817109144543	0.3913470993117011	0.35889872173058013	0.4523107177974435	0.3657817109144543	0.3638151425762045	0.39233038348082594
Aotus-nancymaae	0.06784660766961648	0.06588003933136677	0.06882989183874144	0.034414945919370665	0.06784660766961648	0.06882989183874144	0.20747295968534907	0.06686332350049162	0.071779744346116	0.03539823008849563	0.06784660766961648	0.07276302851524086	0.07079646017699115	0.1101278269419862	0.06096361848574239	0.06882989183874144	0.06096361848574239	0.0698131760078663	0.3893805309734514	0.0	0.10619469026548678	0.11602753195673554	0.02851524090462143	0.059980334316617534	0.06194690265486724	0.07079646017699115	0.027531956735496577	0.06686332350049162	0.059980334316617534	0.09832841691248773	0.06882989183874144	0.19469026548672563	0.06882989183874144	0.06686332350049162	0.10127826941986229
Propithecus-coquereli	0.08357915437561458	0.08357915437561458	0.08849557522123896	0.09734513274336287	0.08652900688298915	0.08456243854473944	0.16224188790560468	0.08456243854473944	0.09144542772861353	0.09341199606686335	0.08357915437561458	0.09242871189773849	0.09046214355948867	0.1032448377581121	0.08652900688298915	0.08849557522123896	0.08652900688298915	0.08751229105211411	0.400196656833825	0.10619469026548678	0.0	0.05211406096361848	0.09046214355948867	0.08554572271386429	0.08554572271386429	0.09046214355948867	0.09046214355948867	0.08456243854473944	0.08751229105211411	0.039331366764995046	0.08849557522123896	0.15142576204523106	0.08751229105211411	0.08456243854473944	0.03736479842674534
Microcebus-murinus	0.09636184857423791	0.09636184857423791	0.10127826941986229	0.10521140609636181	0.09734513274336287	0.09734513274336287	0.1730580137659784	0.09636184857423791	0.10226155358898725	0.10422812192723696	0.0943952802359882	0.10521140609636181	0.1032448377581121	0.10717797443461163	0.09734513274336287	0.10127826941986229	0.09734513274336287	0.10029498525073743	0.4041297935103245	0.11602753195673554	0.05211406096361848	0.0	0.10226155358898725	0.09832841691248773	0.09832841691248773	0.10127826941986229	0.10226155358898725	0.09734513274336287	0.10029498525073743	0.04424778761061943	0.10127826941986229	0.1573254670599803	0.09832841691248773	0.09734513274336287	0.03834808259587019
Cebus-imitator	0.05014749262536877	0.048180924287118954	0.053097345132743334	0.022615535889872196	0.05014749262536877	0.04916420845624381	0.19862340216322516	0.04916420845624381	0.05604719764011801	0.024582104228121904	0.05014749262536877	0.05703048180924286	0.05506391347099315	0.1032448377581121	0.041297935103244865	0.053097345132743334	0.041297935103244865	0.05408062930186819	0.3824975417895772	0.02851524090462143	0.09046214355948867	0.10226155358898725	0.0	0.04031465093412001	0.04228121927236972	0.05506391347099315	0.000983284169124854	0.04916420845624381	0.04031465093412001	0.08456243854473944	0.053097345132743334	0.18387413962635202	0.051130776794493626	0.04916420845624381	0.08751229105211411
Rhinopithecus-bieti	0.019665683382497523	0.017699115044247815	0.017699115044247815	0.051130776794493626	0.021632251720747342	0.019665683382497523	0.1868239921337267	0.01868239921337267	0.019665683382497523	0.053097345132743334	0.021632251720747342	0.021632251720747342	0.01868239921337267	0.09832841691248773	0.000983284169124854	0.017699115044247815	0.002949852507374673	0.019665683382497523	0.36479842674532936	0.059980334316617534	0.08554572271386429	0.09832841691248773	0.04031465093412001	0.0	0.003933136676499527	0.01868239921337267	0.041297935103244865	0.01868239921337267	0.001966568338249708	0.07964601769911506	0.017699115044247815	0.17404129793510326	0.020648967551622377	0.01868239921337267	0.08259587020648973
Piliocolobus-tephrosceles	0.019665683382497523	0.017699115044247815	0.019665683382497523	0.051130776794493626	0.02359882005899705	0.019665683382497523	0.18780727630285154	0.01868239921337267	0.021632251720747342	0.05506391347099315	0.021632251720747342	0.02359882005899705	0.020648967551622377	0.10029498525073743	0.004916420845624381	0.019665683382497523	0.004916420845624381	0.019665683382497523	0.36479842674532936	0.06194690265486724	0.08554572271386429	0.09832841691248773	0.04228121927236972	0.003933136676499527	0.0	0.020648967551622377	0.04326450344149457	0.020648967551622377	0.005899705014749235	0.07964601769911506	0.019665683382497523	0.1750245821042281	0.022615535889872196	0.01868239921337267	0.08259587020648973
Theropithecus-gelada	0.02851524090462143	0.02851524090462143	0.002949852507374673	0.06391347099311706	0.0314650934119961	0.02851524090462143	0.19272369714847593	0.029498525073746285	0.000983284169124854	0.059980334316617534	0.03048180924287114	0.006882989183874089	0.005899705014749235	0.10717797443461163	0.019665683382497523	0.002949852507374673	0.019665683382497523	0.002949852507374673	0.3579154375614553	0.07079646017699115	0.09046214355948867	0.10127826941986229	0.05506391347099315	0.01868239921337267	0.020648967551622377	0.0	0.05604719764011801	0.027531956735496577	0.020648967551622377	0.08652900688298915	0.002949852507374673	0.1819075712881023	0.03048180924287114	0.027531956735496577	0.08751229105211411
Sapajus-apella	0.051130776794493626	0.04916420845624381	0.05408062930186819	0.021632251720747342	0.051130776794493626	0.05014749262536877	0.19862340216322516	0.05014749262536877	0.05703048180924286	0.02359882005899705	0.051130776794493626	0.058013765978367715	0.05604719764011801	0.1032448377581121	0.04228121927236972	0.05408062930186819	0.04228121927236972	0.05506391347099315	0.38348082595870203	0.027531956735496577	0.09046214355948867	0.10226155358898725	0.000983284169124854	0.041297935103244865	0.04326450344149457	0.05604719764011801	0.0	0.05014749262536877	0.041297935103244865	0.08456243854473944	0.05408062930186819	0.18387413962635202	0.05211406096361848	0.05014749262536877	0.08751229105211411
Hylobates-moloch	0.006882989183874089	0.006882989183874089	0.026548672566371723	0.05899705014749268	0.012782694198623434	0.004916420845624381	0.18977384464110125	0.007866273352999054	0.02851524090462143	0.06096361848574239	0.008849557522123908	0.03048180924287114	0.027531956735496577	0.09734513274336287	0.019665683382497523	0.026548672566371723	0.019665683382497523	0.02851524090462143	0.3638151425762045	0.06686332350049162	0.08456243854473944	0.09734513274336287	0.04916420845624381	0.01868239921337267	0.020648967551622377	0.027531956735496577	0.05014749262536877	0.0	0.020648967551622377	0.07964601769911506	0.026548672566371723	0.1750245821042281	0.01179941002949858	0.001966568338249708	0.08161258603736476
Trachypithecus-francoisi	0.021632251720747342	0.019665683382497523	0.019665683382497523	0.051130776794493626	0.02359882005899705	0.021632251720747342	0.18780727630285154	0.020648967551622377	0.021632251720747342	0.053097345132743334	0.02359882005899705	0.02359882005899705	0.020648967551622377	0.10029498525073743	0.002949852507374673	0.019665683382497523	0.004916420845624381	0.021632251720747342	0.3657817109144543	0.059980334316617534	0.08751229105211411	0.10029498525073743	0.04031465093412001	0.001966568338249708	0.005899705014749235	0.020648967551622377	0.041297935103244865	0.020648967551622377	0.0	0.08161258603736476	0.019665683382497523	0.1750245821042281	0.022615535889872196	0.020648967551622377	0.08456243854473944
Lemur-catta	0.07964601769911506	0.07767944936086524	0.08456243854473944	0.08947885939036382	0.08062930186823991	0.07964601769911506	0.16715830875122906	0.0786627335299902	0.08751229105211411	0.08751229105211411	0.07964601769911506	0.08849557522123896	0.08456243854473944	0.0943952802359882	0.08062930186823991	0.08456243854473944	0.08062930186823991	0.08357915437561458	0.3913470993117011	0.09832841691248773	0.039331366764995046	0.04424778761061943	0.08456243854473944	0.07964601769911506	0.07964601769911506	0.08652900688298915	0.08456243854473944	0.07964601769911506	0.08161258603736476	0.0	0.08456243854473944	0.15142576204523106	0.08161258603736476	0.07964601769911506	0.029498525073746285
Macaca-thibetana	0.027531956735496577	0.027531956735496577	0.0	0.06194690265486724	0.03048180924287114	0.025565388397246758	0.1907571288102261	0.02851524090462143	0.003933136676499527	0.058013765978367715	0.029498525073746285	0.003933136676499527	0.004916420845624381	0.10914454277286134	0.01868239921337267	0.0	0.01868239921337267	0.003933136676499527	0.35889872173058013	0.06882989183874144	0.08849557522123896	0.10127826941986229	0.053097345132743334	0.017699115044247815	0.019665683382497523	0.002949852507374673	0.05408062930186819	0.026548672566371723	0.019665683382497523	0.08456243854473944	0.0	0.1799410029498525	0.029498525073746285	0.026548672566371723	0.08554572271386429
Nycticebus-coucang	0.17600786627335296	0.1750245821042281	0.1799410029498525	0.1907571288102261	0.17699115044247793	0.17699115044247793	0.13765978367748277	0.17600786627335296	0.18289085545722716	0.1887905604719764	0.17600786627335296	0.18289085545722716	0.1819075712881023	0.1887905604719764	0.1750245821042281	0.1799410029498525	0.1750245821042281	0.1799410029498525	0.4523107177974435	0.19469026548672563	0.15142576204523106	0.1573254670599803	0.18387413962635202	0.17404129793510326	0.1750245821042281	0.1819075712881023	0.18387413962635202	0.1750245821042281	0.1750245821042281	0.15142576204523106	0.1799410029498525	0.0	0.17797443461160278	0.17699115044247793	0.14650934119960668
Pongo-pygmaeus	0.010816125860373615	0.010816125860373615	0.029498525073746285	0.05899705014749268	0.000983284169124854	0.014749262536873142	0.1887905604719764	0.01179941002949858	0.0314650934119961	0.0629301868239921	0.012782694198623434	0.03343166175024581	0.03048180924287114	0.09537856440511305	0.021632251720747342	0.029498525073746285	0.021632251720747342	0.0314650934119961	0.3657817109144543	0.06882989183874144	0.08751229105211411	0.09832841691248773	0.051130776794493626	0.020648967551622377	0.022615535889872196	0.03048180924287114	0.05211406096361848	0.01179941002949858	0.022615535889872196	0.08161258603736476	0.029498525073746285	0.17797443461160278	0.0	0.01179941002949858	0.08259587020648973
Symphalangus-syndactylus	0.004916420845624381	0.004916420845624381	0.026548672566371723	0.05703048180924286	0.012782694198623434	0.002949852507374673	0.18977384464110125	0.005899705014749235	0.02851524090462143	0.06096361848574239	0.006882989183874089	0.03048180924287114	0.027531956735496577	0.09734513274336287	0.019665683382497523	0.026548672566371723	0.019665683382497523	0.02851524090462143	0.3638151425762045	0.06686332350049162	0.08456243854473944	0.09734513274336287	0.04916420845624381	0.01868239921337267	0.01868239921337267	0.027531956735496577	0.05014749262536877	0.001966568338249708	0.020648967551622377	0.07964601769911506	0.026548672566371723	0.17699115044247793	0.01179941002949858	0.0	0.08161258603736476
Eulemur-rufifrons	0.08062930186823991	0.08062930186823991	0.08554572271386429	0.09242871189773849	0.08161258603736476	0.08161258603736476	0.15929203539823011	0.08161258603736476	0.08849557522123896	0.09046214355948867	0.07669616519174038	0.08947885939036382	0.08751229105211411	0.10029498525073743	0.08357915437561458	0.08554572271386429	0.08161258603736476	0.08456243854473944	0.39233038348082594	0.10127826941986229	0.03736479842674534	0.03834808259587019	0.08751229105211411	0.08259587020648973	0.08259587020648973	0.08751229105211411	0.08751229105211411	0.08161258603736476	0.08456243854473944	0.029498525073746285	0.08554572271386429	0.14650934119960668	0.08259587020648973	0.08161258603736476	0.0
