	Homo-sapiens	Pan-troglodytes	Macaca-mulatta	Pongo-abelii	Callithrix-jacchus	Nomascus-leucogenys	Otolemur-garnettii	Pan-paniscus	Papio-anubis	Saimiri-boliviensis	Gorilla-gorilla	Macaca-fascicularis	Chlorocebus-sabaeus	Carlito-syrichta	Rhinopithecus-roxellana	Macaca-nemestrina	Colobus-angolensis	Mandrillus-leucophaeus	Cercocebus-atys	Aotus-nancymaae	Propithecus-coquereli	Cebus-imitator	Rhinopithecus-bieti	Piliocolobus-tephrosceles	Theropithecus-gelada	Hylobates-moloch	Sapajus-apella	Trachypithecus-francoisi	Lemur-catta	Macaca-thibetana	Nycticebus-coucang	Pongo-pygmaeus	Symphalangus-syndactylus	Eulemur-rufifrons
Gorilla-gorilla	0.35352286773794805	0.3547589616810878	0.3683559950556242	0.3671199011124846	0.2546353522867738	0.3621755253399258	0.43263288009888756	0.3547589616810878	0.36464771322620515	0.37453646477132263	0.0	0.3671199011124846	0.3683559950556242	0.3856613102595797	0.36464771322620515	0.36464771322620515	0.3683559950556242	0.3658838071693449	0.36464771322620515	0.36959208899876395	0.4017305315203955	0.37453646477132263	0.36464771322620515	0.37082818294190356	0.36464771322620515	0.36341161928306553	0.39307787391841775	0.36959208899876395	0.41656365883807167	0.73053152039555	0.41656365883807167	0.09517923362175529	0.36464771322620515	0.41532756489493206
Macaca-fascicularis	0.02595797280593326	0.028430160692212603	0.0024721878862793423	0.046971569839307836	0.3794808405438813	0.02595797280593326	0.25092707045735474	0.027194066749072876	0.0024721878862793423	0.04820766378244745	0.3671199011124846	0.0	0.007416563658838027	0.14956736711990115	0.007416563658838027	0.0024721878862793423	0.012360939431396822	0.0024721878862793423	0.003708281829419069	0.053152039555006136	0.2719406674907293	0.053152039555006136	0.007416563658838027	0.017305315203955507	0.003708281829419069	0.027194066749072876	0.1409147095179234	0.013597033374536438	0.23238566131025962	0.3782447466007417	0.24474660074165633	0.3658838071693449	0.03584672435105063	0.22867737948084055
Chlorocebus-sabaeus	0.02595797280593326	0.028430160692212603	0.00988875154511748	0.04449938195302838	0.3831891223733004	0.02595797280593326	0.2533992583436341	0.027194066749072876	0.0049443757725586845	0.04573547589616811	0.3683559950556242	0.007416563658838027	0.0	0.14833127317676142	0.007416563658838027	0.0049443757725586845	0.012360939431396822	0.007416563658838027	0.006180469715698411	0.050679851668726794	0.27317676143386893	0.050679851668726794	0.007416563658838027	0.014833127317676165	0.006180469715698411	0.024721878862793534	0.142150803461063	0.013597033374536438	0.23362175525339923	0.38195302843016066	0.24474660074165633	0.3621755253399258	0.03337453646477129	0.22991347342398027
Carlito-syrichta	0.1520395550061805	0.1520395550061805	0.15080346106304077	0.16563658838071693	0.41409147095179233	0.15574783683559945	0.2546353522867738	0.1532756489493201	0.14833127317676142	0.1631644004944376	0.3856613102595797	0.14956736711990115	0.14833127317676142	0.0	0.14338689740420274	0.14833127317676142	0.15080346106304077	0.15080346106304077	0.14956736711990115	0.15574783683559945	0.284301606922126	0.16687268232385666	0.14338689740420274	0.1520395550061805	0.1470951792336218	0.15698393077873918	0.22867737948084055	0.1470951792336218	0.25216316440049447	0.47713226205191595	0.24721878862793567	0.39307787391841775	0.15945611866501852	0.25092707045735474
Rhinopithecus-roxellana	0.02595797280593326	0.028430160692212603	0.00988875154511748	0.04449938195302838	0.38071693448702104	0.02595797280593326	0.25216316440049447	0.027194066749072876	0.0049443757725586845	0.04820766378244745	0.36464771322620515	0.007416563658838027	0.007416563658838027	0.14338689740420274	0.0	0.0049443757725586845	0.007416563658838027	0.007416563658838027	0.006180469715698411	0.053152039555006136	0.26946847960445	0.053152039555006136	0.0	0.012360939431396822	0.003708281829419069	0.027194066749072876	0.13844252163164406	0.008652657601977753	0.22991347342398027	0.3831891223733004	0.2435105067985167	0.3609394313967862	0.034610630407911014	0.2262051915945612
Macaca-nemestrina	0.023485784919653918	0.02595797280593326	0.0049443757725586845	0.04449938195302838	0.3794808405438813	0.023485784919653918	0.25216316440049447	0.024721878862793534	0.0	0.04573547589616811	0.36464771322620515	0.0024721878862793423	0.0049443757725586845	0.14833127317676142	0.0049443757725586845	0.0	0.00988875154511748	0.0024721878862793423	0.0012360939431397266	0.050679851668726794	0.26946847960445	0.050679851668726794	0.0049443757725586845	0.014833127317676165	0.0012360939431397266	0.024721878862793534	0.13844252163164406	0.011124845488257096	0.22991347342398027	0.3782447466007417	0.2435105067985167	0.36341161928306553	0.03337453646477129	0.2262051915945612
Colobus-angolensis	0.028430160692212603	0.02966625463535233	0.014833127317676165	0.046971569839307836	0.38442521631644	0.030902348578491945	0.25216316440049447	0.028430160692212603	0.00988875154511748	0.050679851668726794	0.3683559950556242	0.012360939431396822	0.012360939431396822	0.15080346106304077	0.007416563658838027	0.00988875154511748	0.0	0.012360939431396822	0.011124845488257096	0.05809641532756493	0.27317676143386893	0.05809641532756493	0.007416563658838027	0.017305315203955507	0.008652657601977753	0.03213844252163167	0.14462299134734236	0.013597033374536438	0.23362175525339923	0.38442521631644	0.24598269468479605	0.3658838071693449	0.0395550061804697	0.22991347342398027
Mandrillus-leucophaeus	0.02595797280593326	0.028430160692212603	0.0049443757725586845	0.046971569839307836	0.3782447466007417	0.02595797280593326	0.25216316440049447	0.027194066749072876	0.0024721878862793423	0.04573547589616811	0.3658838071693449	0.0024721878862793423	0.007416563658838027	0.15080346106304077	0.007416563658838027	0.0024721878862793423	0.012360939431396822	0.0	0.003708281829419069	0.053152039555006136	0.26946847960445	0.053152039555006136	0.007416563658838027	0.017305315203955507	0.003708281829419069	0.027194066749072876	0.1409147095179234	0.013597033374536438	0.22991347342398027	0.3782447466007417	0.24598269468479605	0.36464771322620515	0.03584672435105063	0.22867737948084055
Cercocebus-atys	0.024721878862793534	0.027194066749072876	0.006180469715698411	0.04573547589616811	0.3794808405438813	0.024721878862793534	0.2533992583436341	0.02595797280593326	0.0012360939431397266	0.046971569839307836	0.36464771322620515	0.003708281829419069	0.006180469715698411	0.14956736711990115	0.006180469715698411	0.0012360939431397266	0.011124845488257096	0.003708281829419069	0.0	0.05191594561186652	0.2707045735475896	0.05191594561186652	0.006180469715698411	0.01606922126081578	0.0024721878862793423	0.02595797280593326	0.13967861557478367	0.012360939431396822	0.22991347342398027	0.3782447466007417	0.24474660074165633	0.36341161928306553	0.034610630407911014	0.2262051915945612
Aotus-nancymaae	0.056860321384425205	0.05933250927070455	0.05438813349814586	0.07416563658838071	0.3720642768850433	0.05438813349814586	0.2558714462299134	0.05809641532756493	0.050679851668726794	0.02224969097651419	0.36959208899876395	0.053152039555006136	0.050679851668726794	0.15574783683559945	0.053152039555006136	0.050679851668726794	0.05809641532756493	0.053152039555006136	0.05191594561186652	0.0	0.2707045735475896	0.02595797280593326	0.053152039555006136	0.06180469715698389	0.05191594561186652	0.05562422744128559	0.1248454882571075	0.056860321384425205	0.22744128553770082	0.411619283065513	0.24969097651421512	0.3683559950556242	0.060568603213844274	0.22373300370828186
Propithecus-coquereli	0.2645241038318912	0.2657601977750309	0.2719406674907293	0.27935723114956734	0.42150803461063036	0.2657601977750309	0.1977750309023486	0.2657601977750309	0.26946847960445	0.27317676143386893	0.4017305315203955	0.2719406674907293	0.27317676143386893	0.284301606922126	0.26946847960445	0.26946847960445	0.27317676143386893	0.26946847960445	0.2707045735475896	0.2707045735475896	0.0	0.2781211372064277	0.26946847960445	0.276885043263288	0.26946847960445	0.26699629171817063	0.16687268232385666	0.2719406674907293	0.142150803461063	0.6168108776266996	0.1977750309023486	0.40420271940667496	0.26205191594561184	0.142150803461063
Cebus-imitator	0.05933250927070455	0.06180469715698389	0.05562422744128559	0.07540173053152044	0.3658838071693449	0.056860321384425205	0.26699629171817063	0.060568603213844274	0.050679851668726794	0.021013597033374576	0.37453646477132263	0.053152039555006136	0.050679851668726794	0.16687268232385666	0.053152039555006136	0.050679851668726794	0.05809641532756493	0.053152039555006136	0.05191594561186652	0.02595797280593326	0.2781211372064277	0.0	0.053152039555006136	0.05933250927070455	0.05191594561186652	0.05809641532756493	0.1124845488257108	0.05809641532756493	0.23485784919653896	0.41532756489493206	0.26328800988875156	0.36959208899876395	0.06304079110012362	0.2311495673671199
Rhinopithecus-bieti	0.02595797280593326	0.028430160692212603	0.00988875154511748	0.04449938195302838	0.38071693448702104	0.02595797280593326	0.25216316440049447	0.027194066749072876	0.0049443757725586845	0.04820766378244745	0.36464771322620515	0.007416563658838027	0.007416563658838027	0.14338689740420274	0.0	0.0049443757725586845	0.007416563658838027	0.007416563658838027	0.006180469715698411	0.053152039555006136	0.26946847960445	0.053152039555006136	0.0	0.012360939431396822	0.003708281829419069	0.027194066749072876	0.13844252163164406	0.008652657601977753	0.22991347342398027	0.3831891223733004	0.2435105067985167	0.3609394313967862	0.034610630407911014	0.2262051915945612
Piliocolobus-tephrosceles	0.03337453646477129	0.03584672435105063	0.01977750309023485	0.04944375772558718	0.38689740420271945	0.03337453646477129	0.2558714462299134	0.034610630407911014	0.014833127317676165	0.05438813349814586	0.37082818294190356	0.017305315203955507	0.014833127317676165	0.1520395550061805	0.012360939431396822	0.014833127317676165	0.017305315203955507	0.017305315203955507	0.01606922126081578	0.06180469715698389	0.276885043263288	0.05933250927070455	0.012360939431396822	0.0	0.013597033374536438	0.03213844252163167	0.14833127317676142	0.01606922126081578	0.23609394313967857	0.39184177997527814	0.2484548825710754	0.3658838071693449	0.0395550061804697	0.23238566131025962
Theropithecus-gelada	0.024721878862793534	0.027194066749072876	0.006180469715698411	0.04326328800988877	0.3782447466007417	0.024721878862793534	0.25216316440049447	0.02595797280593326	0.0012360939431397266	0.046971569839307836	0.36464771322620515	0.003708281829419069	0.006180469715698411	0.1470951792336218	0.003708281829419069	0.0012360939431397266	0.008652657601977753	0.003708281829419069	0.0024721878862793423	0.05191594561186652	0.26946847960445	0.05191594561186652	0.003708281829419069	0.013597033374536438	0.0	0.02595797280593326	0.13844252163164406	0.00988875154511748	0.22991347342398027	0.3794808405438813	0.2435105067985167	0.36341161928306553	0.03337453646477129	0.2262051915945612
Hylobates-moloch	0.01606922126081578	0.018541409147095234	0.02966625463535233	0.03213844252163167	0.38071693448702104	0.0012360939431397266	0.2608158220024722	0.017305315203955507	0.024721878862793534	0.053152039555006136	0.36341161928306553	0.027194066749072876	0.024721878862793534	0.15698393077873918	0.027194066749072876	0.024721878862793534	0.03213844252163167	0.027194066749072876	0.02595797280593326	0.05562422744128559	0.26699629171817063	0.05809641532756493	0.027194066749072876	0.03213844252163167	0.02595797280593326	0.0	0.1470951792336218	0.03337453646477129	0.23238566131025962	0.3967861557478368	0.2484548825710754	0.35846724351050685	0.008652657601977753	0.22744128553770082
Sapajus-apella	0.14833127317676142	0.14956736711990115	0.142150803461063	0.1631644004944376	0.3906056860321384	0.14585908529048208	0.15945611866501852	0.14956736711990115	0.13844252163164406	0.12113720642768855	0.39307787391841775	0.1409147095179234	0.142150803461063	0.22867737948084055	0.13844252163164406	0.13844252163164406	0.14462299134734236	0.1409147095179234	0.13967861557478367	0.1248454882571075	0.16687268232385666	0.1124845488257108	0.13844252163164406	0.14833127317676142	0.13844252163164406	0.1470951792336218	0.0	0.14338689740420274	0.12237330037082816	0.5067985166872682	0.1532756489493201	0.3943139678615575	0.14338689740420274	0.1186650185414091
Trachypithecus-francoisi	0.03213844252163167	0.034610630407911014	0.01606922126081578	0.050679851668726794	0.3831891223733004	0.03213844252163167	0.2558714462299134	0.03337453646477129	0.011124845488257096	0.05191594561186652	0.36959208899876395	0.013597033374536438	0.013597033374536438	0.1470951792336218	0.008652657601977753	0.011124845488257096	0.013597033374536438	0.013597033374536438	0.012360939431396822	0.056860321384425205	0.2719406674907293	0.05809641532756493	0.008652657601977753	0.01606922126081578	0.00988875154511748	0.03337453646477129	0.14338689740420274	0.0	0.23362175525339923	0.38689740420271945	0.24721878862793567	0.3658838071693449	0.040791100123609425	0.22991347342398027
Lemur-catta	0.22744128553770082	0.22867737948084055	0.23238566131025962	0.24227441285537699	0.43757725587144625	0.2311495673671199	0.1520395550061805	0.22867737948084055	0.22991347342398027	0.2311495673671199	0.41656365883807167	0.23238566131025962	0.23362175525339923	0.25216316440049447	0.22991347342398027	0.22991347342398027	0.23362175525339923	0.22991347342398027	0.22991347342398027	0.22744128553770082	0.142150803461063	0.23485784919653896	0.22991347342398027	0.23609394313967857	0.22991347342398027	0.23238566131025962	0.12237330037082816	0.23362175525339923	0.0	0.5673671199011125	0.14833127317676142	0.42027194066749074	0.22867737948084055	0.034610630407911014
Macaca-thibetana	0.3943139678615575	0.3943139678615575	0.38071693448702104	0.40296662546353523	0.7330037082818295	0.3955500618046972	0.5797280593325093	0.39307787391841775	0.3782447466007417	0.4128553770086527	0.73053152039555	0.3782447466007417	0.38195302843016066	0.47713226205191595	0.3831891223733004	0.3782447466007417	0.38442521631644	0.3782447466007417	0.3782447466007417	0.411619283065513	0.6168108776266996	0.41532756489493206	0.3831891223733004	0.39184177997527814	0.3794808405438813	0.3967861557478368	0.5067985166872682	0.38689740420271945	0.5673671199011125	0.0	0.5784919653893696	0.73053152039555	0.4054388133498146	0.5648949320148331
Nycticebus-coucang	0.2435105067985167	0.24474660074165633	0.24474660074165633	0.2608158220024722	0.43139678615574784	0.24969097651421512	0.05933250927070455	0.24474660074165633	0.2435105067985167	0.2583436341161929	0.41656365883807167	0.24474660074165633	0.24474660074165633	0.24721878862793567	0.2435105067985167	0.2435105067985167	0.24598269468479605	0.24598269468479605	0.24474660074165633	0.24969097651421512	0.1977750309023486	0.26328800988875156	0.2435105067985167	0.2484548825710754	0.2435105067985167	0.2484548825710754	0.1532756489493201	0.24721878862793567	0.14833127317676142	0.5784919653893696	0.0	0.42150803461063036	0.24474660074165633	0.15080346106304077
Pongo-pygmaeus	0.3559950556242274	0.3572311495673671	0.3683559950556242	0.3559950556242274	0.25092707045735474	0.35970333745364647	0.43881334981458586	0.3572311495673671	0.36341161928306553	0.3720642768850433	0.09517923362175529	0.3658838071693449	0.3621755253399258	0.39307787391841775	0.3609394313967862	0.36341161928306553	0.3658838071693449	0.36464771322620515	0.36341161928306553	0.3683559950556242	0.40420271940667496	0.36959208899876395	0.3609394313967862	0.3658838071693449	0.36341161928306553	0.35846724351050685	0.3943139678615575	0.3658838071693449	0.42027194066749074	0.73053152039555	0.42150803461063036	0.0	0.3609394313967862	0.419035846724351
Symphalangus-syndactylus	0.024721878862793534	0.027194066749072876	0.03831891223733008	0.0395550061804697	0.3831891223733004	0.00988875154511748	0.25710754017305315	0.02595797280593326	0.03337453646477129	0.05809641532756493	0.36464771322620515	0.03584672435105063	0.03337453646477129	0.15945611866501852	0.034610630407911014	0.03337453646477129	0.0395550061804697	0.03584672435105063	0.034610630407911014	0.060568603213844274	0.26205191594561184	0.06304079110012362	0.034610630407911014	0.0395550061804697	0.03337453646477129	0.008652657601977753	0.14338689740420274	0.040791100123609425	0.22867737948084055	0.4054388133498146	0.24474660074165633	0.3609394313967862	0.0	0.22373300370828186
Eulemur-rufifrons	0.2262051915945612	0.22744128553770082	0.22867737948084055	0.23856613102595803	0.4363411619283065	0.2262051915945612	0.15080346106304077	0.22744128553770082	0.2262051915945612	0.22744128553770082	0.41532756489493206	0.22867737948084055	0.22991347342398027	0.25092707045735474	0.2262051915945612	0.2262051915945612	0.22991347342398027	0.22867737948084055	0.2262051915945612	0.22373300370828186	0.142150803461063	0.2311495673671199	0.2262051915945612	0.23238566131025962	0.2262051915945612	0.22744128553770082	0.1186650185414091	0.22991347342398027	0.034610630407911014	0.5648949320148331	0.15080346106304077	0.419035846724351	0.22373300370828186	0.0
