	Homo-sapiens	Pan-troglodytes	Macaca-mulatta	Papio-anubis	Callithrix-jacchus	Pongo-abelii	Nomascus-leucogenys	Otolemur-garnettii	Pan-paniscus	Saimiri-boliviensis	Gorilla-gorilla	Macaca-fascicularis	Chlorocebus-sabaeus	Rhinopithecus-roxellana	Macaca-nemestrina	Colobus-angolensis	Mandrillus-leucophaeus	Cercocebus-atys	Aotus-nancymaae	Propithecus-coquereli	Microcebus-murinus	Cebus-imitator	Rhinopithecus-bieti	Piliocolobus-tephrosceles	Theropithecus-gelada	Sapajus-apella	Hylobates-moloch	Trachypithecus-francoisi	Lemur-catta	Macaca-thibetana	Nycticebus-coucang	Pongo-pygmaeus	Symphalangus-syndactylus	Eulemur-rufifrons
Gorilla-gorilla	0.039612676056338	0.0035211267605633756	0.04225352112676062	0.04313380281690138	0.021126760563380254	0.011443661971830998	0.01320422535211263	0.09771126760563376	0.004401408450704247	0.015845070422535246	0.0	0.04225352112676062	0.04313380281690138	0.04313380281690138	0.04313380281690138	0.09595070422535212	0.04313380281690138	0.04401408450704225	0.01936619718309862	0.033450704225352124	0.07042253521126762	0.0255281690140845	0.045774647887323994	0.045774647887323994	0.04313380281690138	0.014084507042253502	0.009683098591549255	0.04401408450704225	0.04489436619718312	0.04225352112676062	0.08978873239436624	0.040492957746478875	0.008802816901408494	0.03080985915492962
Macaca-fascicularis	0.009683098591549255	0.04225352112676062	0.0	0.0008802816901408717	0.04489436619718312	0.040492957746478875	0.045774647887323994	0.06073943661971826	0.04313380281690138	0.04313380281690138	0.04225352112676062	0.0	0.002640845070422504	0.004401408450704247	0.0008802816901408717	0.073943661971831	0.005281690140845119	0.0061619718309858795	0.04225352112676062	0.059859154929577496	0.03257042253521125	0.051056338028169	0.007042253521126751	0.004401408450704247	0.0008802816901408717	0.04225352112676062	0.040492957746478875	0.004401408450704247	0.073943661971831	0.0017605633802817433	0.053697183098591506	0.011443661971830998	0.04401408450704225	0.058978873239436624
Chlorocebus-sabaeus	0.010563380281690127	0.04313380281690138	0.002640845070422504	0.0017605633802817433	0.04401408450704225	0.039612676056338	0.04489436619718312	0.06338028169014087	0.04401408450704225	0.04225352112676062	0.04313380281690138	0.002640845070422504	0.0	0.0035211267605633756	0.0035211267605633756	0.07482394366197187	0.005281690140845119	0.007042253521126751	0.041373239436619746	0.058978873239436624	0.033450704225352124	0.05017605633802813	0.0061619718309858795	0.005281690140845119	0.0017605633802817433	0.04313380281690138	0.039612676056338	0.005281690140845119	0.07482394366197187	0.002640845070422504	0.05633802816901412	0.010563380281690127	0.04489436619718312	0.05809859154929575
Rhinopithecus-roxellana	0.010563380281690127	0.04313380281690138	0.004401408450704247	0.0035211267605633756	0.045774647887323994	0.041373239436619746	0.046654929577464754	0.0625	0.04401408450704225	0.04225352112676062	0.04313380281690138	0.004401408450704247	0.0035211267605633756	0.0	0.005281690140845119	0.07482394366197187	0.007042253521126751	0.008802816901408494	0.04313380281690138	0.05809859154929575	0.03257042253521125	0.05193661971830987	0.002640845070422504	0.005281690140845119	0.0035211267605633756	0.04489436619718312	0.041373239436619746	0.0035211267605633756	0.073943661971831	0.004401408450704247	0.05721830985915488	0.01232394366197187	0.046654929577464754	0.05721830985915488
Macaca-nemestrina	0.010563380281690127	0.04313380281690138	0.0008802816901408717	0.0017605633802817433	0.045774647887323994	0.041373239436619746	0.046654929577464754	0.059859154929577496	0.04401408450704225	0.04401408450704225	0.04313380281690138	0.0008802816901408717	0.0035211267605633756	0.005281690140845119	0.0	0.07482394366197187	0.0061619718309858795	0.007042253521126751	0.04313380281690138	0.058978873239436624	0.03169014084507038	0.05193661971830987	0.007922535211267623	0.005281690140845119	0.0017605633802817433	0.04313380281690138	0.041373239436619746	0.005281690140845119	0.07306338028169013	0.002640845070422504	0.052816901408450745	0.01232394366197187	0.04489436619718312	0.05809859154929575
Colobus-angolensis	0.08098591549295775	0.09595070422535212	0.073943661971831	0.07306338028169013	0.09771126760563376	0.09330985915492962	0.09859154929577463	0.13116197183098588	0.096830985915493	0.09330985915492962	0.09595070422535212	0.073943661971831	0.07482394366197187	0.07482394366197187	0.07482394366197187	0.0	0.07482394366197187	0.0765845070422535	0.09507042253521125	0.11003521126760563	0.10123239436619713	0.10387323943661975	0.07746478873239437	0.073943661971831	0.07306338028169013	0.096830985915493	0.09330985915492962	0.07306338028169013	0.125	0.07570422535211263	0.12147887323943662	0.08186619718309862	0.09859154929577463	0.108274647887324
Mandrillus-leucophaeus	0.01320422535211263	0.04313380281690138	0.005281690140845119	0.004401408450704247	0.04401408450704225	0.039612676056338	0.04489436619718312	0.06338028169014087	0.04401408450704225	0.04225352112676062	0.04313380281690138	0.005281690140845119	0.005281690140845119	0.007042253521126751	0.0061619718309858795	0.07482394366197187	0.0	0.009683098591549255	0.041373239436619746	0.05809859154929575	0.03257042253521125	0.05017605633802813	0.009683098591549255	0.007922535211267623	0.004401408450704247	0.04313380281690138	0.039612676056338	0.008802816901408494	0.07306338028169013	0.0061619718309858795	0.05721830985915488	0.010563380281690127	0.04489436619718312	0.05457746478873238
Cercocebus-atys	0.01232394366197187	0.045774647887323994	0.0061619718309858795	0.005281690140845119	0.0484154929577465	0.041373239436619746	0.04489436619718312	0.06161971830985913	0.046654929577464754	0.045774647887323994	0.04401408450704225	0.0061619718309858795	0.007042253521126751	0.008802816901408494	0.007042253521126751	0.0765845070422535	0.009683098591549255	0.0	0.046654929577464754	0.05721830985915488	0.029049295774647876	0.05193661971830987	0.011443661971830998	0.008802816901408494	0.005281690140845119	0.045774647887323994	0.041373239436619746	0.008802816901408494	0.07570422535211263	0.007922535211267623	0.053697183098591506	0.01232394366197187	0.045774647887323994	0.05633802816901412
Aotus-nancymaae	0.05017605633802813	0.01936619718309862	0.04225352112676062	0.041373239436619746	0.01320422535211263	0.015845070422535246	0.021126760563380254	0.10035211267605637	0.020246478873239382	0.011443661971830998	0.01936619718309862	0.04225352112676062	0.041373239436619746	0.04313380281690138	0.04313380281690138	0.09507042253521125	0.041373239436619746	0.046654929577464754	0.0	0.03169014084507038	0.06866197183098588	0.017605633802816878	0.045774647887323994	0.04401408450704225	0.041373239436619746	0.007922535211267623	0.015845070422535246	0.04401408450704225	0.040492957746478875	0.04225352112676062	0.0880281690140845	0.04489436619718312	0.021126760563380254	0.03080985915492962
Propithecus-coquereli	0.0651408450704225	0.033450704225352124	0.059859154929577496	0.058978873239436624	0.035211267605633756	0.029929577464788748	0.035211267605633756	0.09242957746478875	0.033450704225352124	0.029049295774647876	0.033450704225352124	0.059859154929577496	0.058978873239436624	0.05809859154929575	0.058978873239436624	0.11003521126760563	0.05809859154929575	0.05721830985915488	0.03169014084507038	0.0	0.05457746478873238	0.0369718309859155	0.06073943661971826	0.059859154929577496	0.058978873239436624	0.03080985915492962	0.029929577464788748	0.05809859154929575	0.03169014084507038	0.058978873239436624	0.08978873239436624	0.058978873239436624	0.034330985915492995	0.015845070422535246
Microcebus-murinus	0.0369718309859155	0.0713028169014085	0.03257042253521125	0.03169014084507038	0.06866197183098588	0.06690140845070425	0.07218309859154926	0.0625	0.0713028169014085	0.06954225352112675	0.07042253521126762	0.03257042253521125	0.033450704225352124	0.03257042253521125	0.03169014084507038	0.10123239436619713	0.03257042253521125	0.029049295774647876	0.06866197183098588	0.05457746478873238	0.0	0.07482394366197187	0.035211267605633756	0.034330985915492995	0.03169014084507038	0.06690140845070425	0.06778169014084512	0.033450704225352124	0.07218309859154926	0.034330985915492995	0.053697183098591506	0.03785211267605637	0.0713028169014085	0.05545774647887325
Cebus-imitator	0.05721830985915488	0.0255281690140845	0.051056338028169	0.05017605633802813	0.022007042253521125	0.021126760563380254	0.026408450704225372	0.108274647887324	0.026408450704225372	0.01848591549295775	0.0255281690140845	0.051056338028169	0.05017605633802813	0.05193661971830987	0.05193661971830987	0.10387323943661975	0.05017605633802813	0.05193661971830987	0.017605633802816878	0.0369718309859155	0.07482394366197187	0.0	0.04929577464788737	0.052816901408450745	0.05017605633802813	0.016725352112676006	0.021126760563380254	0.052816901408450745	0.05545774647887325	0.051056338028169	0.10035211267605637	0.05017605633802813	0.027288732394366244	0.03785211267605637
Rhinopithecus-bieti	0.01320422535211263	0.045774647887323994	0.007042253521126751	0.0061619718309858795	0.0484154929577465	0.04401408450704225	0.04929577464788737	0.0651408450704225	0.046654929577464754	0.04489436619718312	0.045774647887323994	0.007042253521126751	0.0061619718309858795	0.002640845070422504	0.007922535211267623	0.07746478873239437	0.009683098591549255	0.011443661971830998	0.045774647887323994	0.06073943661971826	0.035211267605633756	0.04929577464788737	0.0	0.007922535211267623	0.0061619718309858795	0.047535211267605626	0.04401408450704225	0.0061619718309858795	0.0765845070422535	0.007042253521126751	0.059859154929577496	0.014964788732394374	0.04929577464788737	0.059859154929577496
Piliocolobus-tephrosceles	0.01232394366197187	0.045774647887323994	0.004401408450704247	0.0035211267605633756	0.046654929577464754	0.04225352112676062	0.045774647887323994	0.06426056338028174	0.046654929577464754	0.04489436619718312	0.045774647887323994	0.004401408450704247	0.005281690140845119	0.005281690140845119	0.005281690140845119	0.073943661971831	0.007922535211267623	0.008802816901408494	0.04401408450704225	0.059859154929577496	0.034330985915492995	0.052816901408450745	0.007922535211267623	0.0	0.0035211267605633756	0.045774647887323994	0.04225352112676062	0.007042253521126751	0.07570422535211263	0.0061619718309858795	0.05809859154929575	0.01320422535211263	0.045774647887323994	0.058978873239436624
Theropithecus-gelada	0.008802816901408494	0.04313380281690138	0.0008802816901408717	0.0	0.04401408450704225	0.039612676056338	0.04489436619718312	0.06161971830985913	0.04401408450704225	0.04225352112676062	0.04313380281690138	0.0008802816901408717	0.0017605633802817433	0.0035211267605633756	0.0017605633802817433	0.07306338028169013	0.004401408450704247	0.005281690140845119	0.041373239436619746	0.058978873239436624	0.03169014084507038	0.05017605633802813	0.0061619718309858795	0.0035211267605633756	0.0	0.04313380281690138	0.039612676056338	0.005281690140845119	0.07482394366197187	0.002640845070422504	0.05457746478873238	0.010563380281690127	0.04489436619718312	0.05809859154929575
Sapajus-apella	0.05017605633802813	0.014084507042253502	0.04225352112676062	0.04313380281690138	0.014964788732394374	0.014964788732394374	0.020246478873239382	0.09859154929577463	0.014964788732394374	0.01232394366197187	0.014084507042253502	0.04225352112676062	0.04313380281690138	0.04489436619718312	0.04313380281690138	0.096830985915493	0.04313380281690138	0.045774647887323994	0.007922535211267623	0.03080985915492962	0.06690140845070425	0.016725352112676006	0.047535211267605626	0.045774647887323994	0.04313380281690138	0.0	0.014964788732394374	0.04401408450704225	0.040492957746478875	0.04225352112676062	0.09154929577464788	0.04401408450704225	0.015845070422535246	0.029929577464788748
Hylobates-moloch	0.041373239436619746	0.009683098591549255	0.040492957746478875	0.039612676056338	0.01848591549295775	0.007042253521126751	0.005281690140845119	0.09859154929577463	0.010563380281690127	0.014964788732394374	0.009683098591549255	0.040492957746478875	0.039612676056338	0.041373239436619746	0.041373239436619746	0.09330985915492962	0.039612676056338	0.041373239436619746	0.015845070422535246	0.029929577464788748	0.06778169014084512	0.021126760563380254	0.04401408450704225	0.04225352112676062	0.039612676056338	0.014964788732394374	0.0	0.04225352112676062	0.0484154929577465	0.040492957746478875	0.08890845070422537	0.03609154929577463	0.007922535211267623	0.029049295774647876
Trachypithecus-francoisi	0.014084507042253502	0.04401408450704225	0.004401408450704247	0.005281690140845119	0.046654929577464754	0.04225352112676062	0.047535211267605626	0.0625	0.04489436619718312	0.04489436619718312	0.04401408450704225	0.004401408450704247	0.005281690140845119	0.0035211267605633756	0.005281690140845119	0.07306338028169013	0.008802816901408494	0.008802816901408494	0.04401408450704225	0.05809859154929575	0.033450704225352124	0.052816901408450745	0.0061619718309858795	0.007042253521126751	0.005281690140845119	0.04401408450704225	0.04225352112676062	0.0	0.07218309859154926	0.004401408450704247	0.05633802816901412	0.014084507042253502	0.045774647887323994	0.05721830985915488
Lemur-catta	0.08274647887323938	0.046654929577464754	0.073943661971831	0.07482394366197187	0.04929577464788737	0.047535211267605626	0.05193661971830987	0.108274647887324	0.046654929577464754	0.0484154929577465	0.04489436619718312	0.073943661971831	0.07482394366197187	0.073943661971831	0.07306338028169013	0.125	0.07306338028169013	0.07570422535211263	0.040492957746478875	0.03169014084507038	0.07218309859154926	0.05545774647887325	0.0765845070422535	0.07570422535211263	0.07482394366197187	0.040492957746478875	0.0484154929577465	0.07218309859154926	0.0	0.073943661971831	0.09507042253521125	0.0765845070422535	0.04489436619718312	0.0255281690140845
Macaca-thibetana	0.011443661971830998	0.04225352112676062	0.0017605633802817433	0.002640845070422504	0.04313380281690138	0.040492957746478875	0.045774647887323994	0.0625	0.04313380281690138	0.041373239436619746	0.04225352112676062	0.0017605633802817433	0.002640845070422504	0.004401408450704247	0.002640845070422504	0.07570422535211263	0.0061619718309858795	0.007922535211267623	0.04225352112676062	0.058978873239436624	0.034330985915492995	0.051056338028169	0.007042253521126751	0.0061619718309858795	0.002640845070422504	0.04225352112676062	0.040492957746478875	0.004401408450704247	0.073943661971831	0.0	0.05545774647887325	0.011443661971830998	0.04401408450704225	0.058978873239436624
Nycticebus-coucang	0.06073943661971826	0.09154929577464788	0.053697183098591506	0.05457746478873238	0.09330985915492962	0.09154929577464788	0.09242957746478875	0.05721830985915488	0.09242957746478875	0.08978873239436624	0.08978873239436624	0.053697183098591506	0.05633802816901412	0.05721830985915488	0.052816901408450745	0.12147887323943662	0.05721830985915488	0.053697183098591506	0.0880281690140845	0.08978873239436624	0.053697183098591506	0.10035211267605637	0.059859154929577496	0.05809859154929575	0.05457746478873238	0.09154929577464788	0.08890845070422537	0.05633802816901412	0.09507042253521125	0.05545774647887325	0.0	0.06338028169014087	0.09330985915492962	0.08714788732394363
Pongo-pygmaeus	0.014084507042253502	0.040492957746478875	0.011443661971830998	0.010563380281690127	0.047535211267605626	0.029049295774647876	0.041373239436619746	0.07042253521126762	0.041373239436619746	0.04401408450704225	0.040492957746478875	0.011443661971830998	0.010563380281690127	0.01232394366197187	0.01232394366197187	0.08186619718309862	0.010563380281690127	0.01232394366197187	0.04489436619718312	0.058978873239436624	0.03785211267605637	0.05017605633802813	0.014964788732394374	0.01320422535211263	0.010563380281690127	0.04401408450704225	0.03609154929577463	0.014084507042253502	0.0765845070422535	0.011443661971830998	0.06338028169014087	0.0	0.0369718309859155	0.05809859154929575
Symphalangus-syndactylus	0.046654929577464754	0.010563380281690127	0.04401408450704225	0.04489436619718312	0.022887323943661997	0.007922535211267623	0.011443661971830998	0.10035211267605637	0.011443661971830998	0.021126760563380254	0.008802816901408494	0.04401408450704225	0.04489436619718312	0.046654929577464754	0.04489436619718312	0.09859154929577463	0.04489436619718312	0.045774647887323994	0.021126760563380254	0.034330985915492995	0.0713028169014085	0.027288732394366244	0.04929577464788737	0.045774647887323994	0.04489436619718312	0.015845070422535246	0.007922535211267623	0.045774647887323994	0.04489436619718312	0.04401408450704225	0.09330985915492962	0.0369718309859155	0.0	0.03169014084507038
Eulemur-rufifrons	0.06426056338028174	0.03257042253521125	0.058978873239436624	0.05809859154929575	0.034330985915492995	0.029049295774647876	0.03257042253521125	0.09330985915492962	0.03257042253521125	0.03080985915492962	0.03080985915492962	0.058978873239436624	0.05809859154929575	0.05721830985915488	0.05809859154929575	0.108274647887324	0.05457746478873238	0.05633802816901412	0.03080985915492962	0.015845070422535246	0.05545774647887325	0.03785211267605637	0.059859154929577496	0.058978873239436624	0.05809859154929575	0.029929577464788748	0.029049295774647876	0.05721830985915488	0.0255281690140845	0.058978873239436624	0.08714788732394363	0.05809859154929575	0.03169014084507038	0.0
